exercise,muscle_group,target_sets,target_reps,target_weight_kg,target_rir,last_updated,ai_instructions
barbell_bench_press,Push,3,8,82.5,2,2026-01-01,
chest_flys,Push,3,12,17.5,1,2026-01-01,
dumbell_bench_press,Push,3,10,32.5,2,2026-01-01,
seated_overhead_dumbell_press,Push,3,8,25.0,2,2026-01-01,
Lateral_raises,Push,3,15,12.5,1,2026-01-01,
weighted_dips,Push,3,8,22.5,2,2026-01-01,
weighted_pullups,Pull,3,8,20,2,2026-01-01,
lat_pulldowns,Pull,3,10,70.0,1,2026-01-01,
standing_barbell_wide_rows,Pull,3,10,60.0,2,2026-01-01,
chest_supported_rows,Pull,3,12,50.0,2,2026-01-01,
squats,Legs,3,6,105.0,2,2026-01-01,
romanian_deadlift,Legs,3,8,95.0,2,2026-01-01,
leg_curls,Legs,3,12,42.5,1,2026-01-01,
bulgarian_split_squats,Legs,2,10,22.5,2,2026-01-01,
standing_bicep_curls,Arms,3,10,17.5,1,2026-01-01,
tricep_pushdown,Arms,3,12,27.5,1,2026-01-01,
