plan_id,day_name,order,exercise,start_date,end_date
plan_001,Push,1,barbell_bench_press,2026-01-01,2026-01-23
plan_001,Push,2,dumbell_bench_press,2026-01-01,2026-01-23
plan_001,Push,3,chest_flys,2026-01-01,2026-01-23
plan_001,Push,4,seated_overhead_dumbell_press,2026-01-01,2026-01-23
plan_001,Push,5,Lateral_raises,2026-01-01,2026-01-23
plan_001,Push,6,weighted_dips,2026-01-01,2026-01-23
plan_001,Pull,1,weighted_pullups,2026-01-01,2026-01-23
plan_001,Pull,2,lat_pulldowns,2026-01-01,2026-01-23
plan_001,Pull,3,standing_barbell_wide_rows,2026-01-01,2026-01-23
plan_001,Pull,4,chest_supported_rows,2026-01-01,2026-01-23
plan_001,Pull,5,standing_bicep_curls,2026-01-01,2026-01-23
plan_001,Legs,1,squats,2026-01-01,2026-01-23
plan_001,Legs,2,romanian_deadlift,2026-01-01,2026-01-23
plan_001,Legs,3,leg_curls,2026-01-01,2026-01-23
plan_001,Legs,4,bulgarian_split_squats,2026-01-01,2026-01-23
plan_002,Upper_A,1,barbell_bench_press,2026-01-24,
plan_002,Upper_A,2,weighted_pullups,2026-01-24,
plan_002,Upper_A,3,seated_overhead_dumbell_press,2026-01-24,
plan_002,Upper_A,4,chest_supported_rows,2026-01-24,
plan_002,Upper_A,5,weighted_dips,2026-01-24,
plan_002,Upper_A,6,Lateral_raises,2026-01-24,
plan_002,Upper_A,7,tricep_pushdown,2026-01-24,
plan_002,Upper_A,8,standing_bicep_curls,2026-01-24,
plan_002,Lower_A,1,squats,2026-01-24,
plan_002,Lower_A,2,romanian_deadlift,2026-01-24,
plan_002,Lower_A,3,leg_curls,2026-01-24,
plan_002,Lower_A,4,bulgarian_split_squats,2026-01-24,
